element_type,osmid,building,name,amenity
way,"155024587",parking,Lake Avenue Parking Garage,parking
way,"155024588",parking,,parking
way,"155024606",parking,White Avenue Parking Garage,parking
way,"155024626",yes,11th Street Parking Garage,parking
way,"263686882",parking,,parking
way,"263697161",parking,,parking
way,"263704589",yes,,parking
way,"268825571",parking,Dwight Kessel Garage,parking
way,"294992860",yes,,parking
way,"294994778",parking,,parking
way,"375406085",parking,,parking
way,"515682139",yes,Volunteer Blvd Parking Garage (G16),parking
way,"822994383",parking,,parking
way,"833020093",parking,,parking
way,"957266749",parking,First Tennessee Plaza Garage,parking
way,"957266754",parking,West Main Street Garage,parking
way,"1075915153",yes,,parking
way,"1084079071",parking,Terrace Avenue Parking Garage,parking
